"z","y","x","ax","ay","az","gx","gy","gz","b","c"
290,32,124,1.6,-2.84,-10.97,-3076.65,-4065.19,-3595.99,2.56,489
291,32,130,2.34,-2.01,-11.95,-4702.72,-6633.24,-5132.52,2.56,489
291,31,138,5.07,-1.69,-11.46,-5984.96,-8681.95,-5612.46,2.55,489
21,30,145,7.99,-1.75,-7.03,-6658.31,-8746.42,-6758.6,2.56,489
16,28,153,13.74,-7.74,-0.38,-6618.91,-7349.57,-7919.05,2.56,490
12,26,160,22.04,-13.34,4.68,-5225.64,-3696.28,-4151.15,2.56,490
12,26,162,24.51,-18.73,5.11,-1855.3,2919.05,655.44,2.56,490
14,29,161,35.88,-19.15,1.31,3348.85,10619.63,5017.91,2.54,490
19,36,152,36.77,-20.09,-13.99,7994.27,17525.07,7260.03,2.56,490
316,47,133,37.74,-20.96,-32.36,15082.38,27682.66,2055.87,2.56,490
312,51,93,29.55,-17.24,-38.99,23255.73,34022.21,11464.9,2.56,490
311,44,60,-25.78,-0.37,-24.09,27091.69,36038.68,12546.56,2.57,490
296,20,37,0.61,1.75,-14.43,29828.08,19656.16,32414.04,2.56,490
280,4,18,11.05,-1.18,-17.3,30666.19,11532.95,16246.42,2.56,490
275,-3,-2,37.21,25.42,6.61,34734.96,12836.68,-9702.72,2.56,490
280,-13,-6,-16.69,-34.07,5.78,5343.84,12815.19,1153.3,2.57,490
280,-21,-12,-17.35,-11.21,0.75,8116.05,8323.78,3610.32,2.56,490
275,-22,-20,-11.51,0.42,2.49,8427.65,669.77,8828.8,2.56,490
272,-18,-26,-7.04,2.87,5.73,7009.31,-3463.47,5931.23,2.56,490
270,-15,-30,0.25,11.72,7.34,4197.71,-5361.75,6285.82,2.57,490
267,-10,-32,1.7,6.19,7.2,1790.83,-5383.24,4477.08,2.56,490
266,-5,-32,4.38,2.04,8.41,164.76,-4401.86,2285.1,2.56,490
266,-3,-32,-0.69,4.15,8.9,268.62,-3248.57,1830.23,2.56,490
265,-1,-33,3.1,3.22,7.08,340.26,-3040.83,2525.07,2.57,490
264,0,-33,4.12,6.15,9.12,727.08,-2052.29,712.75,2.56,490
264,1,-33,1.33,6.55,8.85,737.82,-648.28,401.15,2.56,490
264,1,-34,-0.19,6.74,7.91,268.62,-10.74,-7.16,2.56,490
264,1,-34,3.07,5.9,7.72,175.5,39.4,1762.18,2.56,490
263,1,-34,0.63,4.58,6.91,265.04,723.5,322.35,2.56,490
263,1,-34,0.08,7.29,7.74,268.62,716.33,1045.85,2.56,490
262,1,-34,-0.53,5.7,6.88,-96.7,569.48,927.65,2.56,490
261,2,-34,-0.42,6.16,7.01,-547.99,-200.57,2750.72,2.56,491
259,3,-33,0.32,6.22,7.07,-984.96,-558.74,1780.09,2.56,491
259,3,-32,-1.15,5.62,7.48,-1661.89,-813.04,354.58,2.56,491
259,4,-31,1.13,5.21,7.09,-2331.66,-1719.2,1919.77,2.56,491
258,5,-30,2.17,3.36,6.88,-2500,-1429.08,-1088.83,2.56,491
261,6,-28,0.24,5.21,7.45,-2439.11,-1275.07,-1439.83,2.56,491
263,6,-27,0.72,4.8,7.46,-2657.59,-1633.24,-444.13,2.56,491
263,7,-25,1.95,3.4,7.62,-2639.68,-1626.07,-211.32,2.56,491
265,8,-24,1.47,3.58,8.93,-2410.46,-1446.99,157.59,2.56,491
266,9,-22,5.11,4.83,9.05,-2285.1,-1346.7,512.18,2.56,491
267,9,-21,-1.47,2.55,9.7,-2048.71,32.23,-3724.93,2.56,491
268,9,-20,0.19,5.27,9.77,-2281.52,-709.17,1547.28,2.56,491
268,9,-18,0.68,2.89,9.76,-2406.88,-28.65,-1045.85,2.56,491
269,9,-17,-0.67,3.06,9,-2299.43,132.52,-759.31,2.56,491
269,9,-15,-0.34,3.73,8.71,-2385.39,-3.58,927.65,2.56,491
268,9,-13,1.97,2.48,9.24,-2564.47,57.31,1683.38,2.56,491
267,9,-12,3.08,3.51,10.11,-2639.68,669.77,1418.34,2.56,491
267,9,-10,2.92,2.46,10.04,-2664.76,1253.58,300.86,2.56,491
