z,y,x,ax,ay,az,gx,gy,gz,b,c
302,36,98,5.63,-3.10,-0.61,479.94,68.05,426.22,2.56,254
302,36,99,3.71,-5.53,-1.08,-1987.82,-1153.30,-974.21,2.57,254
303,36,101,5.24,-7.92,-3.21,-2858.17,-1944.84,-232.81,2.56,254
303,36,104,6.66,-8.47,-3.00,-2388.97,-1969.91,-121.78,2.56,254
302,35,106,8.60,-7.91,-2.63,-1095.99,-1017.19,472.78,2.57,254
302,35,106,8.59,-7.94,-2.60,257.88,279.37,712.75,2.57,254
302,35,105,5.21,-7.54,-2.55,1042.26,1117.48,293.70,2.57,254
301,35,104,4.49,-7.07,-1.52,1232.09,1017.19,1031.52,2.56,254
301,34,103,5.19,-7.41,-1.78,830.95,508.60,1246.42,2.57,254
300,34,102,5.25,-6.88,-1.23,329.51,136.10,902.58,2.56,254
299,33,102,6.05,-7.37,-1.86,14.33,-50.14,1063.75,2.57,254
298,32,102,6.13,-7.09,-2.09,-46.56,21.49,433.38,2.56,254
298,32,102,6.18,-7.69,-2.40,50.14,75.21,347.42,2.57,254
298,32,102,5.64,-7.95,-2.12,354.58,200.57,164.76,2.56,254
298,32,101,5.34,-7.93,-2.15,544.41,89.54,547.99,2.56,255
297,32,101,5.22,-7.03,-1.29,762.89,25.07,28.65,2.56,255
297,32,100,4.78,-7.19,-1.21,537.25,-243.55,440.54,2.57,255
296,31,100,5.36,-6.92,-0.93,250.72,-318.77,-57.31,2.57,255
296,31,100,5.27,-7.60,-1.29,-39.40,-422.64,68.05,2.57,255
295,31,101,5.88,-7.19,-1.32,-257.88,-444.13,60.89,2.56,255
295,31,101,5.74,-7.56,-1.71,-404.73,-365.33,32.23,2.57,255
295,31,101,6.06,-7.55,-1.67,-308.02,-218.48,-243.55,2.57,255
295,31,102,5.59,-7.58,-1.87,-265.04,-132.52,-168.34,2.57,255
295,31,102,5.71,-7.69,-1.93,-128.94,-53.72,-136.10,2.57,255
296,32,102,5.74,-7.60,-1.92,-7.16,42.98,68.05,2.56,255
296,32,102,5.73,-7.51,-1.88,132.52,175.50,111.03,2.56,255
296,32,102,5.38,-7.15,-1.54,157.59,254.30,-25.07,2.57,255
296,32,102,5.37,-6.96,-1.32,82.38,286.53,14.33,2.57,255
297,32,101,5.19,-7.36,-1.22,-14.33,322.35,-268.62,2.56,255
297,32,101,5.26,-7.89,-1.43,-71.63,254.30,46.56,2.56,255
297,32,101,5.03,-8.04,-1.68,-28.65,297.28,-164.76,2.57,255
